pool,address,first block
steth,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,11592551
3pool,0xbEbc44782C7dB0a1A60Cb6fe97d0b483032FF1C7,11119129
fraxusdc,0xdcef968d416a41cdac0ed8702fac8128a64241a2,14939588
frax,0xd632f22692fac7611d2aa1c0d552930d43caed3b,11972002
FPI2Pool,0xf861483fa7e511fbc37487d91b6faa803af5d37c,16257743
tricrypto2,0xd51a44d3fae010294c616388b506acda1bfaae46,16744671
frxeth,0xa1f8a6807c402e4a15ef4eba36528a3fed24e577,16762488
mim,0x5a6a4d54456819380173272a5e8e9b9904bdf41b,12567592
cvxFxs/Fxs,0xd658a338613198204dca1143ac3f01a722b5d94a,14249433
susd,0xa5407eae9ba41422680e2e00537571bcc53efbfd,9906598
crveth,0x8301ae4fc9c624d1d396cbdaa1ed877821d7c511,16751979
origin dollar,0x87650d7bbfc3a9f10587d7778206671719d9910d,16633788
cvxeth,0xb576491f1e6e5e62f1d8f26062ee822b40b0e0d4,13783426
tusd,0xecd5e75afb02efa118af914515d6521aabd189f1,16569967
cvxCRV,0x9d0464996170c6b9e75eed71c68b99ddedf279e8,16752906
alUSDFRAXBP,0xb30da2376f63de30b42dc055c93fa474f31330a5,16620049
seth,0xc5424b857f758e906013f3555dad202e4bdb4567,16741390
lusd,0xed279fdd11ca84beef15af5d39bb4d4bee23f0ca,12242627
LDO/ETH,0x9409280dc1e6d33ab7a8c6ec03e5763fb61772b5,16483653
alETH,0xc4c319e2d4d66cca4464c0c2b32c9bd23ebe784e,13227580
eursusd,0x98a7f18d4e56cfe84e3d081b40001b3d5bd3eb8b,13530680
pETH,0x9848482da3ee3076165ce6497eda906e66bb85c5,15673712
Bean,0xc9c32cd16bf7efb85ff14e0c8603cc90f6f2ee49,15278261
STG/USDC,0x3211c6cbef1429da3d0d58494938299c92ad5860,14405419
aave,0xdebf20617708857ebe4f679508e7b7863a8a8eee,11497106
compound,0xa2b47e3d5c44877cca798226b7b8118f9bfb7a56,9554040
DOLA/FRAXBP,0xe57180685e3348589e9521aa53af0bcd497e884d,15461342
alusd,0x43b4fdfd4ff969587185cdb6f0bd875c5fc83f8c,11956693
TUSDFRAXBP,0x33baeda08b8afacc4d3d07cf31d49fc1f1f3e893,15227809
YFI/ETH,0xc26b89a667578ec7b3f11b2f98d6fd15c07c54ba,14042098
USDD/3CRV,0xe6b5cc1b4b47305c58392ce3d359b10282fc36ea,14713877
gusd,0x4f062658eaaf2c1ccf8c8e36d6824cdf41167956,11005604
stETH concentrated,0x828b154032950c8ff7cf8085d841723db2696056,14760363
sbtc2,0xf253f83aca21aabd2a20553ae0bf7f65c755a07f,16099802